episode,reward
5000,3.911
10000,1.633
15000,4.935
20000,3.712
25000,2.769
30000,5.243
35000,3.504
40000,2.308
45000,4.966
50000,1.533
55000,3.474
60000,6.419
65000,4.808
70000,3.214
75000,1.811
80000,4.872
85000,4.686
90000,4.753
95000,0.828
100000,1.242
105000,5.151
110000,1.038
115000,1.333
120000,0.977
125000,4.231
130000,4.121
135000,2.152
140000,3.706
145000,5.994
150000,5.806
155000,3.043
160000,3.114
165000,2.659
170000,2.288
175000,2.435
180000,1.698
185000,1.763
190000,3.773
195000,3.996
200000,6.595
205000,2.065
210000,2.667
215000,6.672
220000,4.269
225000,1.112
230000,5.218
235000,7.45
240000,1.433
245000,2.249
250000,3.942
255000,1.015
260000,6.676
265000,2.469
270000,4.924
275000,4.652
280000,1.108
285000,-0.169
290000,1.384
295000,2.206
300000,2.879
305000,4.07
310000,3.2
315000,1.508
320000,3.153
325000,3.62
330000,0.73
335000,2.173
340000,5.917
345000,0.43
350000,2.723
355000,2.059
360000,5.497
365000,3.805
370000,6.22
375000,3.613
380000,3.588
385000,2.761
390000,4.21
395000,2.57
400000,2.385
405000,2.555
410000,1.581
415000,1.851
420000,2.915
425000,4.076
430000,4.364
435000,3.579
440000,1.646
445000,1.093
450000,2.746
455000,3.753
460000,2.856
465000,2.565
470000,4.822
475000,2.143
480000,1.858
485000,4.884
490000,2.035
495000,2.296
500000,3.207
505000,1.593
510000,2.604
515000,5.592
520000,2.219
525000,3.297
530000,3.557
535000,6.187
540000,1.407
545000,3.754
550000,2.98
555000,1.951
560000,2.241
565000,4.178
570000,3.839
575000,3.795
580000,3.325
585000,3.913
590000,4.485
595000,3.709
600000,3.814
605000,3.599
610000,2.081
615000,5.483
620000,3.626
625000,0.584
630000,2.935
635000,6.224
640000,2.779
645000,3.657
650000,2.09
655000,1.963
660000,2.436
665000,3.197
670000,4.155
675000,6.956
680000,2.519
685000,4.242
690000,2.645
695000,4.13
700000,4.657
705000,2.691
710000,2.885
715000,4.931
720000,1.488
725000,3.956
730000,4.563
735000,1.597
740000,1.128
745000,2.753
750000,3.787
755000,3.265
760000,5.37
765000,2.491
770000,4.624
775000,2.26
780000,2.104
785000,3.744
790000,4.934
795000,4.182
800000,1.152
805000,4.971
810000,3.305
815000,3.045
820000,4.16
825000,3.9
830000,4.754
835000,4.53
840000,3.014
845000,4.456
850000,2.497
855000,3.067
860000,1.905
865000,5.643
870000,4.266
875000,4.76
880000,4.151
885000,6.451
890000,4.606
895000,3.525
900000,1.604
905000,4.763
910000,6.099
915000,2.736
920000,5.361
925000,2.937
930000,2.249
935000,0.576
940000,4.204
945000,2.897
950000,4.386
955000,4.339
960000,3.603
965000,2.123
970000,1.978
975000,2.231
980000,2.323
985000,3.486
990000,1.907
995000,2.301
1000000,2.594
1005000,3.143
1010000,1.148
1015000,3.522
