episode,reward
5000,1.434
5000,1.434
10000,0.98
15000,1.478
20000,1.277
25000,-1.644
30000,5.021
35000,1.259
40000,0.043
45000,2.386
50000,-0.275
50000,1.434
55000,0.542
60000,5.663
60000,2.03
65000,4.941
70000,2.012
70000,0.943
75000,1.065
80000,1.279
80000,-0.087
85000,-0.062
90000,1.212
90000,0.987
95000,0.757
100000,-0.036
100000,3.339
105000,2.253
110000,0.865
110000,2.375
115000,4.188
120000,1.527
120000,0.716
125000,-0.76
130000,-0.651
130000,0.149
135000,1.922
140000,-0.14
140000,2.66
145000,3.889
150000,-1.6
150000,-2.16
155000,-4.333
160000,-0.192
160000,3.54
165000,2.59
170000,-0.776
170000,3.291
175000,0.048
180000,0.078
180000,4.42
185000,0.793
190000,1.848
190000,-2.958
195000,3.555
200000,1.673
200000,2.976
205000,0.831
210000,-0.802
210000,2.101
215000,3.228
220000,0.748
220000,4.481
225000,1.836
230000,5.146
230000,-0.925
235000,1.106
240000,5.004
240000,0.943
245000,1.453
250000,0.663
250000,3.19
255000,3.319
260000,4.769
260000,2.125
265000,-1.96
270000,1.194
275000,0.432
280000,2.951
280000,1.434
285000,3.183
290000,2.348
290000,2.03
295000,-0.969
300000,2.424
300000,1.987
305000,1.458
310000,-1.491
310000,4.599
315000,1.309
320000,-0.835
320000,0.024
325000,3.795
330000,2.355
335000,-0.852
330000,1.824
340000,1.242
345000,1.609
340000,3.225
350000,2.284
355000,2.617
350000,0.538
360000,1.867
365000,0.598
360000,3.47
370000,1.298
375000,1.433
370000,3.205
380000,1.845
385000,1.924
390000,-2.17
380000,-5.079
395000,-0.97
400000,2.919
390000,5.27
405000,3.153
410000,0.618
400000,0.339
415000,3.039
420000,2.282
410000,1.426
425000,2.194
430000,4.228
435000,0.173
420000,2.767
440000,-0.874
445000,1.851
430000,0.487
450000,3.423
455000,0.726
440000,1.982
460000,0.906
465000,-0.243
450000,3.351
470000,0.455
475000,1.643
480000,2.224
460000,2.015
485000,2.246
490000,3.987
470000,2.739
495000,1.018
500000,1.603
480000,2.889
505000,0.777
510000,1.076
490000,1.432
515000,3.108
520000,1.117
525000,-0.756
500000,-0.168
530000,1.777
535000,-0.889
510000,-0.607
540000,0.246
545000,0.389
550000,0.292
555000,3.834
560000,3.252
560000,1.611,18010.00,50.5
565000,1.655
570000,2.53
570000,2.696,29190.00,51.8
575000,1.865
580000,-1.091
580000,2.137,26150.00,52.9
585000,3.114
590000,-0.202
590000,-0.181,4220.00,50.0
595000,-3.512
600000,-1.425
600000,0.913,9890.00,50.2
605000,2.49
610000,2.541
615000,1.962
610000,2.473,2756.00,50.3
620000,-2.976
625000,3.783
620000,1.801,2364.00,51.1
630000,1.442
635000,3.916
630000,1.86,2174.00,50.2
640000,2.801
645000,1.244
640000,2.32,2797.00,51.1
650000,1.898
655000,2.243
650000,1.477,2258.00,50.3
660000,3.36
665000,0.827
660000,-3.496,41.95,48.8,74
670000,3.436
675000,2.702
670000,-1.453,138.30,50.7,60
680000,-0.817
685000,0.756
680000,0.4019999999999999,134.50,50.8,36
690000,-0.352
695000,-1.212
690000,0.635,161700.00,47.7,12
700000,1.4
705000,2.487
700000,0.07599999999999996,153500.00,50.3,14
710000,1.476
715000,2.92
720000,-0.65
710000,2.5149999999999997,340400.00,52.2,9
725000,1.096
730000,4.159
720000,1.546,160400.00,50.8,1
735000,1.631
740000,1.095
730000,0.09199999999999997,158500.00,49.5,15
745000,1.233
750000,3.755
740000,3.449,381500.00,52.1,4
755000,1.027
760000,3.561
750000,0.22299999999999986,384900.00,50.3,33
765000,0.849
770000,2.337
760000,2.1599999999999997,264500.00,51.7,4
775000,6.441
780000,0.404
785000,4.384
770000,2.661,280300.00,51.5,1
790000,1.546
795000,2.188
780000,0.6869999999999999,73800.00,49.5,1
800000,1.384
805000,0.987
790000,0.20399999999999996,144300.00,50.3,13
810000,2.066
815000,0.823
800000,6.791,679100.00,51.9,0
820000,0.884
825000,2.567
830000,1.33
810000,-2.182,96700.00,50.6,36
835000,2.548
840000,4.185
820000,1.556,264600.00,50.6,15
845000,2.02
850000,1.454
830000,3.862,386200.00,52.1,0
855000,0.11
860000,1.218
865000,2.419
870000,1.769
875000,2.136
880000,2.657
885000,-1.233
890000,2.592
895000,-2.897
900000,2.639
905000,3.069
910000,1.888
915000,1.349
920000,2.659
925000,-2.008
930000,-1.853
935000,2.03
940000,0.373
945000,4.021
950000,3.954
950000,0.32999999999999985,187600.00,48.4,17
955000,4.003
960000,2.231
960000,1.4740000000000002,296800.00,50.4,13
965000,2.575
970000,0.58
975000,3.207
970000,2.82,282000.00,50.8,0
980000,1.775
985000,1.922
980000,-0.02200000000000013,106300.00,51.5,12
990000,3.814
995000,-0.862
990000,-1.17,118100.00,51.6,25
1000000,3.351
1000000,2.011,226300.00,51.7,3
